Name,Laptop Type,Laptop Brand,Price,Price New,CPU,CPU Brand,Ram Size,Ram Type,Hard Drive Size,Hard Drive,Screen,Resolution,Material,OS,Year,Graphic,Graphic Name,Weight,Warranty Time,Warranty Location
Laptop Acer Swift 5 SF514 53T 51EX,general,Acer,8130000,23990000,Intel Core i5 Coffee Lake - 8265U,Intel,8,DDR4,256,SSD,14,Full HD,Nhôm - Magie,Windows 10 Home SL,2018,Card tích hợp,Intel UHD Graphics 620,0.97,1,Cửa Hàng
Laptop Acer Swift 5 SF514 53T 51EX,general,Acer,9480000,27990000,Intel Core i7 Coffee Lake - 8565U,Intel,8,DDR4,256,SSD,14,Full HD,Nhôm - Magie,Windows 10 Home SL,2018,Card tích hợp,Intel UHD Graphics 620,0.94,1,Cửa Hàng
Laptop Acer Swift 3 SF314 54 51QL,general,Acer,5520000,16290000,Intel Core i5 Kabylake Refresh - 8250U,Intel,4,DDR4,1024,HDD,14,Full HD,Vỏ kim loại,Windows 10 Home SL,2018,Card tích hợp,Intel HD Graphics 620,1.5,1,Cửa Hàng
Laptop CHUWI CoreBook X,general,CHUWI,5580000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,1,Cửa Hàng
Laptop Acer Switch 5 SW512 52P 34RS,general,Acer,7620000,22490000,Intel Core i3 Kabylake - 7130U,Intel,4,DDR3L,128,SSD,12,2K,Vỏ kim loại,Windows 10 Home SL,2019,Card tích hợp,Intel UHD Graphics 620,0.92,1,Cửa Hàng
Laptop CHUWI CoreBook X,general,CHUWI,5770000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,4,Chính Hãng
Laptop CHUWI CoreBook X,general,CHUWI,5740000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,3.5,Chính Hãng
Laptop CHUWI CoreBook X,general,CHUWI,5680000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,2.5,Chính Hãng
Laptop Acer Swift 7 SF714 52T 76C6,general,Acer,16940000,49990000,Intel Core i7 Coffee Lake - 8500Y,Intel,16,DDR3,512,SSD,14,Full HD,Nhôm - Magie,Windows 10 Home SL,2019,Card tích hợp,Intel UHD Graphics 615,0.89,1,Cửa Hàng
Laptop CHUWI CoreBook X,general,CHUWI,5800000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,4.5,Chính Hãng
Laptop CHUWI CoreBook X,general,CHUWI,5710000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,3,Chính Hãng
Laptop CHUWI CoreBook X,general,CHUWI,5840000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,5,Chính Hãng
Laptop CHUWI HeroBook Pro,general,CHUWI,3280000,8590000,Intel Celeron - N4020,Intel,8,LPDDR4,256,SSD,14.1,Full HD,Vỏ nhựa,Windows 10 Home SL,2021,Card tích hợp,Intel UHD Graphics 600,1.39,1,Cửa Hàng
Laptop LG Gram 16 2021,general,LG,17810000,50890000,Intel Core i7 Tiger Lake - 1165G7,Intel,16,LPDDR4X,512,SSD,16,WQXGA,Hợp kim Nano Carbon - Magie,Windows 10 Home Standard,2021,Card tích hợp,Intel Iris Xe Graphics,1.19,1,Cửa Hàng
Laptop CHUWI HeroBook Pro,general,CHUWI,3300000,8590000,Intel Celeron - N4020,Intel,8,LPDDR4,256,SSD,14.1,Full HD,Vỏ nhựa,Windows 10 Home SL,2021,Card tích hợp,Intel UHD Graphics 600,1.39,1.5,Chính Hãng
Laptop CHUWI HeroBook Pro,general,CHUWI,3320000,8590000,Intel Celeron - N4020,Intel,8,LPDDR4,256,SSD,14.1,Full HD,Vỏ nhựa,Windows 10 Home SL,2021,Card tích hợp,Intel UHD Graphics 600,1.39,2,Chính Hãng
Laptop CHUWI HeroBook Pro,general,CHUWI,3000000,8590000,Intel Celeron - N4020,Intel,8,LPDDR4,256,SSD,14.1,Full HD,Vỏ nhựa,Windows 10 Home SL,2021,Card tích hợp,Intel UHD Graphics 600,1.39,1,Cửa Hàng
Laptop LG Gram 16 2021,general,LG,18340000,50890000,Intel Core i7 Tiger Lake - 1165G7,Intel,16,LPDDR4X,512,SSD,16,WQXGA,Hợp kim Nano Carbon - Magie,Windows 10 Home Standard,2021,Card tích hợp,Intel Iris Xe Graphics,1.19,1,Cửa Hàng
Laptop CHUWI CoreBook X,general,CHUWI,5870000,15490000,Intel Core i5 Coffee Lake - 8259U,Intel,16,DDR4,512,SSD,14,2.2K,Vỏ kim loại,Windows 10 Home SL,2021,Card tích hợp,Intel Iris Plus Graphics 655,1.5,5.5,Chính Hãng
Laptop CHUWI HeroBook Pro,general,CHUWI,3360000,8590000,Intel Celeron - N4020,Intel,8,LPDDR4,256,SSD,14.1,Full HD,Vỏ nhựa,Windows 10 Home SL,2021,Card tích hợp,Intel UHD Graphics 600,1.39,3,Chính Hãng
Laptop CHUWI HeroBook Pro,general,CHUWI,3340000,8590000,Intel Celeron - N4020,Intel,8,LPDDR4,256,SSD,14.1,Full HD,Vỏ nhựa,Windows 10 Home SL,2021,Card tích hợp,Intel UHD Graphics 600,1.39,2.5,Chính Hãng
